taxonID,scientificName,kingdom,phylum,class,order,family,nomenclaturalCode
gn_198,Dromaius novaehollandiae novaehollandiae,Animalia,Chordata,Aves,Casuariiformes,Casuariidae (Cassowaries and Emu),ICZN
gn_199,Dromaius novaehollandiae baudinianus,Animalia,Chordata,Aves,Casuariiformes,Casuariidae (Cassowaries and Emu),ICZN
gn_200,Dromaius novaehollandiae minor,Animalia,Chordata,Aves,Casuariiformes,Casuariidae (Cassowaries and Emu),ICZN
gn_201,Dromaius novaehollandiae diemenensis,Animalia,Chordata,Aves,Casuariiformes,Casuariidae (Cassowaries and Emu),ICZN
gn_202,Apteryx australis,Animalia,Chordata,Aves,Apterygiformes,Apterygidae (Kiwis),ICZN
gn_203,Apteryx australis australis,Animalia,Chordata,Aves,Apterygiformes,Apterygidae (Kiwis),ICZN
gn_204,Apteryx australis lawryi,Animalia,Chordata,Aves,Apterygiformes,Apterygidae (Kiwis),ICZN
gn_205,Apteryx rowi,Animalia,Chordata,Aves,Apterygiformes,Apterygidae (Kiwis),ICZN
gn_206,Apteryx mantelli,Animalia,Chordata,Aves,Apterygiformes,Apterygidae (Kiwis),ICZN
gn_207,Apteryx owenii,Animalia,Chordata,Aves,Apterygiformes,Apterygidae (Kiwis),ICZN
gn_208,Apteryx haastii,Animalia,Chordata,Aves,Apterygiformes,Apterygidae (Kiwis),ICZN
gn_209,Anhima cornuta,Animalia,Chordata,Aves,Anseriformes,Anhimidae (Screamers),ICZN
gn_210,Chauna torquata,Animalia,Chordata,Aves,Anseriformes,Anhimidae (Screamers),ICZN
gn_211,Chauna chavaria,Animalia,Chordata,Aves,Anseriformes,Anhimidae (Screamers),ICZN
gn_212,Anseranas semipalmata,Animalia,Chordata,Aves,Anseriformes,Anseranatidae (Magpie Goose),ICZN
gn_213,Dendrocygna guttata,Animalia,Chordata,Aves,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",ICZN
gn_214,Dendrocygna eytoni,Animalia,Chordata,Aves,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",ICZN
gn_215,Dendrocygna viduata,Animalia,Chordata,Aves,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",ICZN
gn_216,Dendrocygna autumnalis,Animalia,Chordata,Aves,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",ICZN
gn_217,Dendrocygna autumnalis fulgens,Animalia,Chordata,Aves,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",ICZN
gn_218,Dendrocygna autumnalis autumnalis,Animalia,Chordata,Aves,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",ICZN
gn_219,Dendrocygna arborea,Animalia,Chordata,Aves,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",ICZN
gn_220,Dendrocygna bicolor,Animalia,Chordata,Aves,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",ICZN
gn_221,Dendrocygna arcuata,Animalia,Chordata,Aves,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",ICZN
gn_222,Dendrocygna arcuata arcuata,Animalia,Chordata,Aves,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",ICZN
gn_223,Dendrocygna arcuata australis,Animalia,Chordata,Aves,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",ICZN
gn_224,Dendrocygna arcuata pygmaea,Animalia,Chordata,Aves,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",ICZN
gn_225,Dendrocygna javanica,Animalia,Chordata,Aves,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",ICZN
gn_226,Thalassornis leuconotus,Animalia,Chordata,Aves,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",ICZN
gn_227,Thalassornis leuconotus leuconotus,Animalia,Chordata,Aves,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",ICZN
gn_228,Thalassornis leuconotus insularis,Animalia,Chordata,Aves,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",ICZN
gn_229,Anser indicus,Animalia,Chordata,Aves,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",ICZN
gn_230,Anser canagicus,Animalia,Chordata,Aves,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",ICZN
gn_231,Anser caerulescens,Animalia,Chordata,Aves,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",ICZN
gn_232,Anser caerulescens caerulescens,Animalia,Chordata,Aves,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",ICZN
gn_233,Anser caerulescens atlanticus,Animalia,Chordata,Aves,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",ICZN
